epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1294.77,0.70563,0.75473,0.95948,0.56156,0.60173,0.56488,0.40836,1.03204,1.8784,1.26746,0.000848969,0.000848969,0.000848969
43,1337.33,0.63689,0.68743,0.92209,0.6174,0.56129,0.57225,0.43013,1.00685,1.79187,1.25528,0.000834822,0.000834822,0.000834822
44,1376.31,0.65539,0.7118,0.92379,0.47096,0.54828,0.5258,0.37946,1.06687,1.82671,1.28472,0.000820675,0.000820675,0.000820675
45,1420.49,0.6518,0.70571,0.94039,0.45642,0.53923,0.49278,0.34778,1.05236,1.78846,1.28332,0.000806528,0.000806528,0.000806528
46,1465.04,0.62199,0.70054,0.93183,0.59609,0.54514,0.54409,0.39983,1.04136,1.72437,1.27454,0.00079238,0.00079238,0.00079238
47,1502.88,0.60356,0.70525,0.91769,0.59288,0.54468,0.56427,0.41702,1.0489,1.70368,1.2725,0.000778233,0.000778233,0.000778233
48,1540.45,0.62218,0.66647,0.90928,0.49761,0.63947,0.58201,0.41716,1.04432,1.66422,1.28341,0.000764086,0.000764086,0.000764086
49,1577.55,0.59753,0.66067,0.91879,0.62273,0.47588,0.56859,0.41824,1.02287,1.72895,1.2779,0.000749939,0.000749939,0.000749939
50,1614.79,0.59792,0.63702,0.91064,0.56267,0.59654,0.60109,0.45134,0.92794,1.59026,1.17642,0.000735792,0.000735792,0.000735792
51,1652.03,0.56261,0.61116,0.9027,0.54972,0.65703,0.60788,0.46769,0.94382,1.51906,1.17566,0.000721645,0.000721645,0.000721645
52,1689.08,0.55689,0.62908,0.90234,0.5314,0.68392,0.63409,0.4781,0.92826,1.49484,1.16216,0.000707498,0.000707498,0.000707498
53,1727.18,0.55326,0.59943,0.89887,0.57934,0.62797,0.6412,0.47981,0.92065,1.54021,1.15259,0.000693351,0.000693351,0.000693351
54,1766.51,0.58312,0.65384,0.92318,0.68985,0.59767,0.64649,0.47945,0.93655,1.56752,1.15843,0.000679204,0.000679204,0.000679204
